"Title","Type_Episodes","Airing_Period","Members","Score"
"Steins;Gate Movie: Fuka Ryouiki no Déjà vu","Movie (1 eps)","Apr 2013 - Apr 2013","611,463","8.45"
"Uma Musume: Pretty Derby - Shin Jidai no Tobira","Movie (1 eps)","May 2024 - May 2024","8,899","8.44"
"Zoku Owarimonogatari","TV (6 eps)","May 2019 - Jun 2019","237,518","8.44"
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen","TV (24 eps)","Jan 2015 - Jun 2015","1,160,000","8.44"
"Karakai Jouzu no Takagi-san Movie","Movie (1 eps)","Jun 2022 - Jun 2022","82,786","8.44"
"Kimetsu no Yaiba","TV (26 eps)","Apr 2019 - Sep 2019","3,180,578","8.44"
"Grand Blue","TV (12 eps)","Jul 2018 - Sep 2018","816,407","8.44"
"Haikyuu!!","TV (25 eps)","Apr 2014 - Sep 2014","2,046,237","8.44"
"Bungou Stray Dogs 4th Season","TV (13 eps)","Jan 2023 - Mar 2023","317,783","8.43"
"Golden Kamuy 3rd Season","TV (12 eps)","Oct 2020 - Dec 2020","180,147","8.43"
"Mushishi Zoku Shou: Odoro no Michi","TV Special (1 eps)","Aug 2014 - Aug 2014","104,783","8.43"
"Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2","TV (12 eps)","Apr 2024 - Jul 2024","451,356","8.43"
"Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2","TV (12 eps)","Jan 2021 - Mar 2021","955,681","8.43"
"Jujutsu Kaisen 0 Movie","Movie (1 eps)","Dec 2021 - Dec 2021","1,067,623","8.42"
"Kono Oto Tomare! Part 2","TV (13 eps)","Oct 2019 - Dec 2019","187,424","8.42"
"Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu","Movie (1 eps)","Aug 2019 - Aug 2019","825,873","8.42"
"Koukaku Kidoutai: Stand Alone Complex","TV (26 eps)","Oct 2002 - Oct 2003","407,019","8.42"
"Mononoke","TV (12 eps)","Jul 2007 - Sep 2007","343,433","8.42"
"Natsume Yuujinchou Movie: Utsusemi ni Musubu","Movie (1 eps)","Sep 2018 - Sep 2018","77,561","8.42"
"Saenai Heroine no Sodatekata Fine","Movie (1 eps)","Oct 2019 - Oct 2019","192,362","8.42"
"Tian Guan Cifu","ONA (11 eps)","Oct 2020 - Jan 2021","158,042","8.42"
"Wu Liuqi: Xuanwu Guo Pian","ONA (10 eps)","Jan 2021 - May 2021","71,195","8.42"
"Gintama: Yorinuki Gintama-san on Theater 2D","Movie (2 eps)","Aug 2012 - Aug 2012","45,632","8.42"
"Hunter x Hunter","TV (62 eps)","Oct 1999 - Mar 2001","612,049","8.42"
"Saiki Kusuo no Ψ-nan","TV (120 eps)","Jul 2016 - Dec 2016","1,157,717","8.41"
"Saiki Kusuo no Ψ-nan 2","TV (24 eps)","Jan 2018 - Jun 2018","670,760","8.41"
"Shingeki no Kyojin: Kuinaki Sentaku","OVA (2 eps)","Dec 2014 - Apr 2015","535,115","8.41"
"Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou","Movie (1 eps)","Sep 2019 - Sep 2019","445,094","8.41"
"Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen","TV (12 eps)","Jan 2019 - Mar 2019","1,810,978","8.40"
"Kamisama Hajimemashita: Kako-hen","OVA (4 eps)","Aug 2015 - Aug 2016","174,062","8.40"
"Natsume Yuujinchou Roku Specials","Special (2 eps)","Sep 2017 - Oct 2017","49,978","8.40"
"Karakai Jouzu no Takagi-san 3","TV (12 eps)","Jan 2022 - Mar 2022","196,877","8.39"
"Major S5","TV (25 eps)","Jan 2009 - Jun 2009","72,745","8.39"
"Blue Giant","Movie (1 eps)","Feb 2023 - Feb 2023","35,261","8.39"
